Place,Name,Birth.Date,Nat.,Mark,event_meta,event,games_link,athlete_links,games,country,date,Points,Records,Wind,Remarks
1,Elaine THOMPSON-HERAH,28 JUN 1992,JAM,10.61,"Final, Wind: -0.6",Women's 100 Metres,https://worldathletics.org/competition/calendar-results/results/7132391,https://worldathletics.org/athletes/jamaica/elaine-thompson-herah-14285956,The XXXII Olympic Games,JPN,30 JUL–08 AUG 2021,NA,NA,NA,NA
2,Shelly-Ann FRASER-PRYCE,27 DEC 1986,JAM,10.74,"Final, Wind: -0.6",Women's 100 Metres,https://worldathletics.org/competition/calendar-results/results/7132391,https://worldathletics.org/athletes/jamaica/shelly-ann-fraser-pryce-14285680,The XXXII Olympic Games,JPN,30 JUL–08 AUG 2021,NA,NA,NA,NA
3,Shericka JACKSON,16 JUL 1994,JAM,10.76,"Final, Wind: -0.6",Women's 100 Metres,https://worldathletics.org/competition/calendar-results/results/7132391,https://worldathletics.org/athletes/jamaica/shericka-jackson-14325599,The XXXII Olympic Games,JPN,30 JUL–08 AUG 2021,NA,NA,NA,NA
4,Marie-Josée TA LOU,18 NOV 1988,CIV,10.91,"Final, Wind: -0.6",Women's 100 Metres,https://worldathletics.org/competition/calendar-results/results/7132391,https://worldathletics.org/athletes/cote-divoire/marie-josee-ta-lou-14415994,The XXXII Olympic Games,JPN,30 JUL–08 AUG 2021,NA,NA,NA,NA
5,Ajla DEL PONTE,15 JUL 1996,SUI,10.97,"Final, Wind: -0.6",Women's 100 Metres,https://worldathletics.org/competition/calendar-results/results/7132391,https://worldathletics.org/athletes/switzerland/ajla-del-ponte-14487463,The XXXII Olympic Games,JPN,30 JUL–08 AUG 2021,NA,NA,NA,NA
6,Mujinga KAMBUNDJI,17 JUN 1992,SUI,10.99,"Final, Wind: -0.6",Women's 100 Metres,https://worldathletics.org/competition/calendar-results/results/7132391,https://worldathletics.org/athletes/switzerland/mujinga-kambundji-14300897,The XXXII Olympic Games,JPN,30 JUL–08 AUG 2021,NA,NA,NA,NA
7,Teahna DANIELS,25 MAR 1997,USA,11.02,"Final, Wind: -0.6",Women's 100 Metres,https://worldathletics.org/competition/calendar-results/results/7132391,https://worldathletics.org/athletes/united-states/teahna-daniels-014443924,The XXXII Olympic Games,JPN,30 JUL–08 AUG 2021,NA,NA,NA,NA
8,Daryll NEITA,29 AUG 1996,GBR,11.12,"Final, Wind: -0.6",Women's 100 Metres,https://worldathletics.org/competition/calendar-results/results/7132391,https://worldathletics.org/athletes/great-britain-ni/daryll-neita-14476603,The XXXII Olympic Games,JPN,30 JUL–08 AUG 2021,NA,NA,NA,NA
1,Elaine THOMPSON-HERAH,28 JUN 1992,JAM,10.76,"Semifinal - Heat 1, Wind: 0.0",Women's 100 Metres,https://worldathletics.org/competition/calendar-results/results/7132391,https://worldathletics.org/athletes/jamaica/elaine-thompson-herah-14285956,The XXXII Olympic Games,JPN,30 JUL–08 AUG 2021,NA,NA,NA,NA
2,Ajla DEL PONTE,15 JUL 1996,SUI,11.01,"Semifinal - Heat 1, Wind: 0.0",Women's 100 Metres,https://worldathletics.org/competition/calendar-results/results/7132391,https://worldathletics.org/athletes/switzerland/ajla-del-ponte-14487463,The XXXII Olympic Games,JPN,30 JUL–08 AUG 2021,NA,NA,NA,NA
3,Dina ASHER-SMITH,04 DEC 1995,GBR,11.05,"Semifinal - Heat 1, Wind: 0.0",Women's 100 Metres,https://worldathletics.org/competition/calendar-results/results/7132391,https://worldathletics.org/athletes/great-britain-ni/dina-asher-smith-14378282,The XXXII Olympic Games,JPN,30 JUL–08 AUG 2021,NA,NA,NA,NA
4,Jenna PRANDINI,20 NOV 1992,USA,11.11,"Semifinal - Heat 1, Wind: 0.0",Women's 100 Metres,https://worldathletics.org/competition/calendar-results/results/7132391,https://worldathletics.org/athletes/united-states/jenna-prandini-14329068,The XXXII Olympic Games,JPN,30 JUL–08 AUG 2021,NA,NA,NA,NA
5,Khamica BINGHAM,15 JUN 1994,CAN,11.22,"Semifinal - Heat 1, Wind: 0.0",Women's 100 Metres,https://worldathletics.org/competition/calendar-results/results/7132391,https://worldathletics.org/athletes/canada/khamica-bingham-14405309,The XXXII Olympic Games,JPN,30 JUL–08 AUG 2021,NA,NA,NA,NA
6,TyNia GAITHER,16 MAR 1993,BAH,11.31,"Semifinal - Heat 1, Wind: 0.0",Women's 100 Metres,https://worldathletics.org/competition/calendar-results/results/7132391,https://worldathletics.org/athletes/bahamas/tynia-gaither-14362366,The XXXII Olympic Games,JPN,30 JUL–08 AUG 2021,NA,NA,NA,NA
7,Tatjana PINTO,02 JUL 1992,GER,11.35,"Semifinal - Heat 1, Wind: 0.0",Women's 100 Metres,https://worldathletics.org/competition/calendar-results/results/7132391,https://worldathletics.org/athletes/germany/tatjana-pinto-014279214,The XXXII Olympic Games,JPN,30 JUL–08 AUG 2021,NA,NA,NA,NA
1,Marie-Josée TA LOU,18 NOV 1988,CIV,10.79,"Semifinal - Heat 2, Wind: -0.2",Women's 100 Metres,https://worldathletics.org/competition/calendar-results/results/7132391,https://worldathletics.org/athletes/cote-divoire/marie-josee-ta-lou-14415994,The XXXII Olympic Games,JPN,30 JUL–08 AUG 2021,NA,NA,NA,NA
2,Shericka JACKSON,16 JUL 1994,JAM,10.79,"Semifinal - Heat 2, Wind: -0.2",Women's 100 Metres,https://worldathletics.org/competition/calendar-results/results/7132391,https://worldathletics.org/athletes/jamaica/shericka-jackson-14325599,The XXXII Olympic Games,JPN,30 JUL–08 AUG 2021,NA,NA,NA,NA
3,Michelle-Lee AHYE,10 APR 1992,TTO,11,"Semifinal - Heat 2, Wind: -0.2",Women's 100 Metres,https://worldathletics.org/competition/calendar-results/results/7132391,https://worldathletics.org/athletes/trinidad-and-tobago/michelle-lee-ahye-14302966,The XXXII Olympic Games,JPN,30 JUL–08 AUG 2021,NA,NA,NA,NA
4,Alexandra BURGHARDT,28 APR 1994,GER,11.07,"Semifinal - Heat 2, Wind: -0.2",Women's 100 Metres,https://worldathletics.org/competition/calendar-results/results/7132391,https://worldathletics.org/athletes/germany/alexandra-burghardt-14390368,The XXXII Olympic Games,JPN,30 JUL–08 AUG 2021,NA,NA,NA,NA
5,Javianne OLIVER,26 DEC 1994,USA,11.08,"Semifinal - Heat 2, Wind: -0.2",Women's 100 Metres,https://worldathletics.org/competition/calendar-results/results/7132391,https://worldathletics.org/athletes/united-states/javianne-oliver-014484313,The XXXII Olympic Games,JPN,30 JUL–08 AUG 2021,NA,NA,NA,NA
6,Crystal EMMANUEL,27 NOV 1991,CAN,11.21,"Semifinal - Heat 2, Wind: -0.2",Women's 100 Metres,https://worldathletics.org/competition/calendar-results/results/7132391,https://worldathletics.org/athletes/canada/crystal-emmanuel-14270576,The XXXII Olympic Games,JPN,30 JUL–08 AUG 2021,NA,NA,NA,NA
7,Manqi GE,13 OCT 1997,CHN,11.22,"Semifinal - Heat 2, Wind: -0.2",Women's 100 Metres,https://worldathletics.org/competition/calendar-results/results/7132391,https://worldathletics.org/athletes/pr-of-china/manqi-ge-14576460,The XXXII Olympic Games,JPN,30 JUL–08 AUG 2021,NA,NA,NA,NA
8,Asha PHILIP,25 OCT 1990,GBR,11.3,"Semifinal - Heat 2, Wind: -0.2",Women's 100 Metres,https://worldathletics.org/competition/calendar-results/results/7132391,https://worldathletics.org/athletes/great-britain-ni/asha-philip-14276065,The XXXII Olympic Games,JPN,30 JUL–08 AUG 2021,NA,NA,NA,NA
1,Shelly-Ann FRASER-PRYCE,27 DEC 1986,JAM,10.73,"Semifinal - Heat 3, Wind: +0.3",Women's 100 Metres,https://worldathletics.org/competition/calendar-results/results/7132391,https://worldathletics.org/athletes/jamaica/shelly-ann-fraser-pryce-14285680,The XXXII Olympic Games,JPN,30 JUL–08 AUG 2021,NA,NA,NA,NA
2,Mujinga KAMBUNDJI,17 JUN 1992,SUI,10.96,"Semifinal - Heat 3, Wind: +0.3",Women's 100 Metres,https://worldathletics.org/competition/calendar-results/results/7132391,https://worldathletics.org/athletes/switzerland/mujinga-kambundji-14300897,The XXXII Olympic Games,JPN,30 JUL–08 AUG 2021,NA,NA,NA,NA
3,Teahna DANIELS,25 MAR 1997,USA,10.98,"Semifinal - Heat 3, Wind: +0.3",Women's 100 Metres,https://worldathletics.org/competition/calendar-results/results/7132391,https://worldathletics.org/athletes/united-states/teahna-daniels-014443924,The XXXII Olympic Games,JPN,30 JUL–08 AUG 2021,NA,NA,NA,NA
4,Daryll NEITA,29 AUG 1996,GBR,11,"Semifinal - Heat 3, Wind: +0.3",Women's 100 Metres,https://worldathletics.org/competition/calendar-results/results/7132391,https://worldathletics.org/athletes/great-britain-ni/daryll-neita-14476603,The XXXII Olympic Games,JPN,30 JUL–08 AUG 2021,NA,NA,NA,NA
5,Nzubechi Grace NWOKOCHA,07 APR 2001,NGR,11.07,"Semifinal - Heat 3, Wind: +0.3",Women's 100 Metres,https://worldathletics.org/competition/calendar-results/results/7132391,https://worldathletics.org/athletes/nigeria/nzubechi-grace-nwokocha-14886275,The XXXII Olympic Games,JPN,30 JUL–08 AUG 2021,NA,NA,NA,NA
6,Gina BASS,03 MAY 1995,GAM,11.16,"Semifinal - Heat 3, Wind: +0.3",Women's 100 Metres,https://worldathletics.org/competition/calendar-results/results/7132391,https://worldathletics.org/athletes/the-gambia/gina-mariam-bass-bittaye-14479741,The XXXII Olympic Games,JPN,30 JUL–08 AUG 2021,NA,NA,NA,NA
7,Murielle AHOURÉ,23 AUG 1987,CIV,11.28,"Semifinal - Heat 3, Wind: +0.3",Women's 100 Metres,https://worldathletics.org/competition/calendar-results/results/7132391,https://worldathletics.org/athletes/cote-divoire/murielle-ahoure-demps-14304569,The XXXII Olympic Games,JPN,30 JUL–08 AUG 2021,NA,NA,NA,NA
8,Anna BONGIORNI,15 SEP 1993,ITA,11.38,"Semifinal - Heat 3, Wind: +0.3",Women's 100 Metres,https://worldathletics.org/competition/calendar-results/results/7132391,https://worldathletics.org/athletes/italy/anna-bongiorni-14361484,The XXXII Olympic Games,JPN,30 JUL–08 AUG 2021,NA,NA,NA,NA
1,Teahna DANIELS,25 MAR 1997,USA,11.04,"Round 1 - Heat 1, Wind: -0.1",Women's 100 Metres,https://worldathletics.org/competition/calendar-results/results/7132391,https://worldathletics.org/athletes/united-states/teahna-daniels-014443924,The XXXII Olympic Games,JPN,30 JUL–08 AUG 2021,NA,NA,NA,NA
2,Dina ASHER-SMITH,04 DEC 1995,GBR,11.07,"Round 1 - Heat 1, Wind: -0.1",Women's 100 Metres,https://worldathletics.org/competition/calendar-results/results/7132391,https://worldathletics.org/athletes/great-britain-ni/dina-asher-smith-14378282,The XXXII Olympic Games,JPN,30 JUL–08 AUG 2021,NA,NA,NA,NA
3,Murielle AHOURÉ,23 AUG 1987,CIV,11.16,"Round 1 - Heat 1, Wind: -0.1",Women's 100 Metres,https://worldathletics.org/competition/calendar-results/results/7132391,https://worldathletics.org/athletes/cote-divoire/murielle-ahoure-demps-14304569,The XXXII Olympic Games,JPN,30 JUL–08 AUG 2021,NA,NA,NA,NA
4,Manqi GE,13 OCT 1997,CHN,11.2,"Round 1 - Heat 1, Wind: -0.1",Women's 100 Metres,https://worldathletics.org/competition/calendar-results/results/7132391,https://worldathletics.org/athletes/pr-of-china/manqi-ge-14576460,The XXXII Olympic Games,JPN,30 JUL–08 AUG 2021,NA,NA,NA,NA
5,Salomé KORA,08 JUN 1994,SUI,11.25,"Round 1 - Heat 1, Wind: -0.1",Women's 100 Metres,https://worldathletics.org/competition/calendar-results/results/7132391,https://worldathletics.org/athletes/switzerland/salome-kora-14509523,The XXXII Olympic Games,JPN,30 JUL–08 AUG 2021,NA,NA,NA,NA
6,Marije VAN HUNENSTIJN,02 MAR 1995,NED,11.27,"Round 1 - Heat 1, Wind: -0.1",Women's 100 Metres,https://worldathletics.org/competition/calendar-results/results/7132391,https://worldathletics.org/athletes/netherlands/marije-van-hunenstijn-14451250,The XXXII Olympic Games,JPN,30 JUL–08 AUG 2021,NA,NA,NA,NA
7,Joella LLOYD,12 APR 2002,ANT,11.54,"Round 1 - Heat 1, Wind: -0.1",Women's 100 Metres,https://worldathletics.org/competition/calendar-results/results/7132391,https://worldathletics.org/athletes/antigua-barbuda/joella-lloyd-14746897,The XXXII Olympic Games,JPN,30 JUL–08 AUG 2021,NA,NA,NA,NA
8,Asimenye SIMWAKA,08 AUG 1997,MAW,11.68,"Round 1 - Heat 1, Wind: -0.1",Women's 100 Metres,https://worldathletics.org/competition/calendar-results/results/7132391,https://worldathletics.org/athletes/malawi/asimenye-simwaka-14974007,The XXXII Olympic Games,JPN,30 JUL–08 AUG 2021,NA,NA,NA,NA
1,Elaine THOMPSON-HERAH,28 JUN 1992,JAM,10.82,"Round 1 - Heat 2, Wind: +0.1",Women's 100 Metres,https://worldathletics.org/competition/calendar-results/results/7132391,https://worldathletics.org/athletes/jamaica/elaine-thompson-herah-14285956,The XXXII Olympic Games,JPN,30 JUL–08 AUG 2021,NA,NA,NA,NA
2,Mujinga KAMBUNDJI,17 JUN 1992,SUI,10.95,"Round 1 - Heat 2, Wind: +0.1",Women's 100 Metres,https://worldathletics.org/competition/calendar-results/results/7132391,https://worldathletics.org/athletes/switzerland/mujinga-kambundji-14300897,The XXXII Olympic Games,JPN,30 JUL–08 AUG 2021,NA,NA,NA,NA
3,Tatjana PINTO,02 JUL 1992,GER,11.16,"Round 1 - Heat 2, Wind: +0.1",Women's 100 Metres,https://worldathletics.org/competition/calendar-results/results/7132391,https://worldathletics.org/athletes/germany/tatjana-pinto-014279214,The XXXII Olympic Games,JPN,30 JUL–08 AUG 2021,NA,NA,NA,NA
4,Khamica BINGHAM,15 JUN 1994,CAN,11.21,"Round 1 - Heat 2, Wind: +0.1",Women's 100 Metres,https://worldathletics.org/competition/calendar-results/results/7132391,https://worldathletics.org/athletes/canada/khamica-bingham-14405309,The XXXII Olympic Games,JPN,30 JUL–08 AUG 2021,NA,NA,NA,NA
5,Rosângela SANTOS,20 DEC 1990,BRA,11.33,"Round 1 - Heat 2, Wind: +0.1",Women's 100 Metres,https://worldathletics.org/competition/calendar-results/results/7132391,https://worldathletics.org/athletes/brazil/rosangela-santos-14268928,The XXXII Olympic Games,JPN,30 JUL–08 AUG 2021,NA,NA,NA,NA
6,Kelly-Ann BAPTISTE,14 OCT 1986,TTO,11.48,"Round 1 - Heat 2, Wind: +0.1",Women's 100 Metres,https://worldathletics.org/competition/calendar-results/results/7132391,https://worldathletics.org/athletes/trinidad-and-tobago/kelly-ann-baptiste-14302975,The XXXII Olympic Games,JPN,30 JUL–08 AUG 2021,NA,NA,NA,NA
7,Vittoria FONTANA,23 JUL 2000,ITA,11.53,"Round 1 - Heat 2, Wind: +0.1",Women's 100 Metres,https://worldathletics.org/competition/calendar-results/results/7132391,https://worldathletics.org/athletes/italy/vittoria-fontana-14736254,The XXXII Olympic Games,JPN,30 JUL–08 AUG 2021,NA,NA,NA,NA
8,Alvin TEHUPEIORY,05 APR 1995,INA,11.92,"Round 1 - Heat 2, Wind: +0.1",Women's 100 Metres,https://worldathletics.org/competition/calendar-results/results/7132391,https://worldathletics.org/athletes/indonesia/alvin-tehupeiory-014478692,The XXXII Olympic Games,JPN,30 JUL–08 AUG 2021,NA,NA,NA,NA
1,Alexandra BURGHARDT,28 APR 1994,GER,11.08,"Round 1 - Heat 3, Wind: -0.4",Women's 100 Metres,https://worldathletics.org/competition/calendar-results/results/7132391,https://worldathletics.org/athletes/germany/alexandra-burghardt-14390368,The XXXII Olympic Games,JPN,30 JUL–08 AUG 2021,NA,NA,NA,NA
2,Javianne OLIVER,26 DEC 1994,USA,11.15,"Round 1 - Heat 3, Wind: -0.4",Women's 100 Metres,https://worldathletics.org/competition/calendar-results/results/7132391,https://worldathletics.org/athletes/united-states/javianne-oliver-014484313,The XXXII Olympic Games,JPN,30 JUL–08 AUG 2021,NA,NA,NA,NA
3,Anna BONGIORNI,15 SEP 1993,ITA,11.35,"Round 1 - Heat 3, Wind: -0.4",Women's 100 Metres,https://worldathletics.org/competition/calendar-results/results/7132391,https://worldathletics.org/athletes/italy/anna-bongiorni-14361484,The XXXII Olympic Games,JPN,30 JUL–08 AUG 2021,NA,NA,NA,NA
